# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0176041 -----------------
#dely    BF
0.050  0.0264  0.0006
0.150  0.0196  0.0005
0.250  0.0273  0.0007
0.350  0.0233  0.0006
0.450  0.0224  0.0006
0.550  0.0214  0.0006
0.650  0.0126  0.0004
0.750  0.0096  0.0003
0.850  0.0110  0.0004
0.950  0.0042  0.0002
1.050  0.0005  0.0000
1.150  0.0002  0.0000
1.250 -0.0001 -0.0000
1.350 -0.0003 -0.0000
1.450 -0.0010 -0.0001
1.550 -0.0010 -0.0002
1.650 -0.0001 -0.0000
1.750  0.0000  0.0000
