# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0108372 -----------------
#dely    BF
0.050  0.0190  0.0004
0.150  0.0150  0.0003
0.250  0.0150  0.0003
0.350  0.0114  0.0003
0.450  0.0171  0.0004
0.550  0.0100  0.0003
0.650  0.0086  0.0003
0.750  0.0038  0.0001
0.850  0.0054  0.0002
0.950  0.0015  0.0001
1.050  0.0014  0.0001
1.150  0.0004  0.0000
1.250  0.0002  0.0000
1.350 -0.0009 -0.0001
1.450  0.0001  0.0000
1.550  0.0002  0.0000
1.650  0.0001  0.0000
1.750  0.0000  0.0000
