# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00124445 -----------------
#dely    BF
0.050 -0.0038 -0.0003
0.150 -0.0137 -0.0013
0.250  0.0045  0.0004
0.350 -0.0034 -0.0004
0.450  0.0056  0.0006
0.550 -0.0031 -0.0004
0.650 -0.0011 -0.0002
0.750  0.0148  0.0025
0.850  0.0032  0.0006
0.950  0.0014  0.0003
1.050  0.0004  0.0001
1.150  0.0029  0.0010
1.250  0.0050  0.0018
1.350 -0.0003 -0.0001
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
