# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00399327 -----------------
#dely    BF
0.050 -0.0020 -0.0002
0.150 -0.0085 -0.0007
0.250 -0.0099 -0.0009
0.350  0.0039  0.0004
0.450  0.0127  0.0012
0.550  0.0056  0.0006
0.650  0.0042  0.0005
0.750  0.0046  0.0006
0.850  0.0119  0.0018
0.950  0.0037  0.0007
1.050  0.0054  0.0011
1.150  0.0053  0.0015
1.250  0.0025  0.0010
1.350 -0.0004 -0.0002
1.450  0.0010  0.0007
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
