# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0132007 -----------------
#dely    BF
0.050  0.0172  0.0003
0.150  0.0261  0.0005
0.250  0.0134  0.0003
0.350  0.0192  0.0004
0.450  0.0211  0.0005
0.550  0.0101  0.0002
0.650  0.0059  0.0002
0.750  0.0060  0.0002
0.850  0.0050  0.0002
0.950  0.0049  0.0002
1.050  0.0030  0.0001
1.150  0.0007  0.0000
1.250  0.0001  0.0000
1.350 -0.0012 -0.0001
1.450  0.0005  0.0001
1.550 -0.0001 -0.0000
1.650 -0.0000 -0.0000
1.750  0.0000  0.0000
