# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.000613801 -----------------
#dely    BF
0.050  0.0116  0.0012
0.150 -0.0148 -0.0015
0.250 -0.0061 -0.0006
0.350  0.0034  0.0004
0.450 -0.0039 -0.0005
0.550  0.0092  0.0012
0.650 -0.0025 -0.0004
0.750 -0.0034 -0.0006
0.850 -0.0031 -0.0006
0.950  0.0016  0.0004
1.050 -0.0027 -0.0006
1.150  0.0059  0.0019
1.250 -0.0041 -0.0015
1.350  0.0022  0.0013
1.450  0.0005  0.0004
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
