# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0104633 -----------------
#dely    BF
0.050  0.0153  0.0004
0.150  0.0107  0.0003
0.250  0.0148  0.0004
0.350  0.0076  0.0002
0.450  0.0117  0.0003
0.550  0.0115  0.0003
0.650  0.0077  0.0002
0.750  0.0099  0.0003
0.850  0.0083  0.0003
0.950  0.0043  0.0002
1.050  0.0015  0.0001
1.150 -0.0010 -0.0000
1.250  0.0007  0.0000
1.350  0.0010  0.0001
1.450  0.0003  0.0000
1.550  0.0005  0.0001
1.650 -0.0001 -0.0000
1.750  0.0000  0.0000
