# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00456681 -----------------
#dely    BF
0.050  0.0112  0.0004
0.150  0.0100  0.0004
0.250  0.0076  0.0003
0.350  0.0002  0.0000
0.450  0.0044  0.0002
0.550 -0.0028 -0.0001
0.650  0.0062  0.0004
0.750 -0.0008 -0.0000
0.850  0.0050  0.0004
0.950  0.0002  0.0000
1.050  0.0014  0.0001
1.150 -0.0014 -0.0001
1.250  0.0028  0.0004
1.350  0.0016  0.0003
1.450 -0.0002 -0.0001
1.550  0.0002  0.0001
1.650  0.0001  0.0001
1.750  0.0000  0.0000
