# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0119858 -----------------
#dely    BF
0.050  0.0164  0.0003
0.150  0.0146  0.0003
0.250  0.0156  0.0003
0.350  0.0109  0.0003
0.450  0.0145  0.0004
0.550  0.0131  0.0004
0.650  0.0077  0.0002
0.750  0.0073  0.0002
0.850  0.0071  0.0003
0.950  0.0068  0.0003
1.050  0.0040  0.0002
1.150  0.0020  0.0001
1.250 -0.0003 -0.0000
1.350 -0.0003 -0.0000
1.450  0.0007  0.0001
1.550 -0.0003 -0.0001
1.650  0.0000  0.0000
1.750  0.0000  0.0000
