# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00515942 -----------------
#dely    BF
0.050  0.0170  0.0006
0.150  0.0084  0.0003
0.250  0.0093  0.0003
0.350  0.0038  0.0002
0.450  0.0004  0.0000
0.550  0.0046  0.0002
0.650  0.0004  0.0000
0.750  0.0042  0.0002
0.850  0.0001  0.0000
0.950  0.0017  0.0001
1.050  0.0012  0.0001
1.150  0.0004  0.0000
1.250 -0.0008 -0.0001
1.350  0.0001  0.0000
1.450  0.0008  0.0002
1.550 -0.0001 -0.0001
1.650  0.0000  0.0000
1.750  0.0000  0.0000
