# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00625923 -----------------
#dely    BF
0.050  0.0128  0.0005
0.150  0.0122  0.0005
0.250  0.0081  0.0003
0.350  0.0089  0.0004
0.450  0.0091  0.0004
0.550  0.0003  0.0000
0.650 -0.0014 -0.0001
0.750  0.0037  0.0002
0.850  0.0047  0.0003
0.950  0.0023  0.0002
1.050  0.0011  0.0001
1.150  0.0003  0.0000
1.250  0.0005  0.0001
1.350 -0.0002 -0.0000
1.450  0.0000  0.0000
1.550  0.0002  0.0001
1.650  0.0000  0.0000
1.750  0.0000  0.0000
