# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0102266 -----------------
#dely    BF
0.050  0.0157  0.0006
0.150  0.0201  0.0008
0.250  0.0145  0.0006
0.350  0.0129  0.0006
0.450  0.0081  0.0004
0.550  0.0076  0.0004
0.650  0.0070  0.0004
0.750  0.0048  0.0003
0.850  0.0058  0.0004
0.950  0.0005  0.0000
1.050  0.0027  0.0002
1.150  0.0011  0.0001
1.250  0.0007  0.0001
1.350  0.0007  0.0001
1.450 -0.0001 -0.0000
1.550  0.0001  0.0000
1.650  0.0001  0.0001
1.750  0.0000  0.0000
