# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.00549727 -----------------
#dely    BF
0.050 -0.0215 -0.0016
0.150  0.0077  0.0006
0.250 -0.0025 -0.0002
0.350 -0.0111 -0.0010
0.450 -0.0066 -0.0006
0.550  0.0135  0.0015
0.650 -0.0205 -0.0028
0.750  0.0014  0.0002
0.850 -0.0048 -0.0008
0.950 -0.0087 -0.0017
1.050  0.0004  0.0001
1.150  0.0004  0.0001
1.250 -0.0018 -0.0007
1.350 -0.0016 -0.0011
1.450  0.0008  0.0004
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
