# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0097347 -----------------
#dely    BF
0.050  0.0171  0.0015
0.150  0.0253  0.0024
0.250  0.0174  0.0016
0.350  0.0115  0.0011
0.450  0.0092  0.0010
0.550  0.0056  0.0006
0.650  0.0078  0.0010
0.750  0.0075  0.0011
0.850 -0.0026 -0.0004
0.950 -0.0038 -0.0007
1.050  0.0054  0.0010
1.150  0.0004  0.0002
1.250 -0.0039 -0.0017
1.350  0.0011  0.0005
1.450 -0.0008 -0.0005
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
