# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00457409 -----------------
#dely    BF
0.050  0.0129  0.0005
0.150  0.0072  0.0003
0.250  0.0083  0.0004
0.350  0.0074  0.0003
0.450  0.0038  0.0002
0.550 -0.0029 -0.0001
0.650 -0.0015 -0.0001
0.750  0.0022  0.0001
0.850  0.0068  0.0005
0.950  0.0053  0.0004
1.050 -0.0009 -0.0001
1.150 -0.0024 -0.0003
1.250 -0.0008 -0.0001
1.350 -0.0002 -0.0000
1.450  0.0004  0.0001
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
