# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0130918 -----------------
#dely    BF
0.050  0.0176  0.0004
0.150  0.0131  0.0003
0.250  0.0173  0.0004
0.350  0.0169  0.0004
0.450  0.0124  0.0003
0.550  0.0106  0.0003
0.650  0.0085  0.0003
0.750  0.0105  0.0004
0.850  0.0057  0.0002
0.950  0.0029  0.0001
1.050  0.0051  0.0002
1.150  0.0038  0.0002
1.250  0.0028  0.0002
1.350  0.0017  0.0001
1.450  0.0018  0.0002
1.550 -0.0000 -0.0000
1.650  0.0002  0.0001
1.750  0.0000  0.0000
