# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0058343 -----------------
#dely    BF
0.050  0.0257  0.0022
0.150  0.0027  0.0003
0.250  0.0060  0.0007
0.350  0.0020  0.0002
0.450  0.0069  0.0008
0.550 -0.0086 -0.0012
0.650 -0.0050 -0.0008
0.750  0.0069  0.0010
0.850  0.0017  0.0003
0.950  0.0128  0.0027
1.050  0.0049  0.0012
1.150 -0.0006 -0.0002
1.250  0.0011  0.0004
1.350  0.0020  0.0014
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
