# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.00445023 -----------------
#dely    BF
0.050  0.0100  0.0004
0.150  0.0106  0.0004
0.250  0.0039  0.0002
0.350  0.0050  0.0002
0.450  0.0052  0.0003
0.550  0.0022  0.0001
0.650  0.0025  0.0001
0.750  0.0010  0.0001
0.850  0.0030  0.0002
0.950  0.0004  0.0000
1.050  0.0006  0.0001
1.150 -0.0002 -0.0000
1.250  0.0002  0.0000
1.350  0.0000  0.0000
1.450  0.0004  0.0001
1.550 -0.0002 -0.0001
1.650  0.0000  0.0000
1.750  0.0000  0.0000
